SMILES,diff
C(=O)(c1ccc(cc1)Cl)Nc(cc2)ccc2C(=O)N\N=C\c3cc(OC)ccc3O,7.6800000000000015
N1(c2ccc(cc2)OC)C(=O)c3c(cc(cc3)Oc(cc4)ccc4N5C(=O)c(c6C5=O)ccc(C(O)=O)c6)C1=O,45.4
[N+](=O)([O-])c(cc1)ccc1C(=O)Oc2ccc(cc2OCC)\C=N\NC(COc3cccc(C)c3)=O,8.52
C(=O)(OCC(C)C)c1ccc(cc1)NC(CCCCC)=O,6.2600000000000025
CC(C)(C(C1)C2)C2[C@H](CSc3n(C)cnn3)C1,31.8
N(=C\c1cccc(F)c1O)/c2cc(C)c(cc2O)C,29.140000000000004
C(=O)(Nc1cccc(Cl)c1C)c2ccccc2Cl,8.1
N(=C\c1ccccc1O)/c2cc(CC)ccc2O,14.329999999999998
C(COc(cc1)ccc1C)(=O)N\N=C\c2cccc(O)c2,33.08
C(C1(C)C)(C[C@@H](S(O)N)[C@@](O)(C)C2)C12,5.83
C(C1(C)C)(C[C@@H](S(O)N)[C@@](O)(C)C2)C12,5.609999999999999
CC(C)(C(C1)C2)C2[C@@H](CSc3n(c4ccccc4)c(c5ccccc5)nn3)C1,9.09
S(NCCNc1cc(Cl)ccc1[N+](=O)[O-])(=O)(=O)c2ccc(cc2)Cl,6.26
N(=C(/C)\c1ccc(cc1)C)/NC(COc2ccc(cc2OC)Br)=O,15.88
c1(c(Cl)ccc(Cl)c1)NC(CCc2ccccc2)=O,6.02
C(=O)(N\N=C(/C)\CC(=O)Nc1cccc(I)c1)C(=O)Nc(cc2)ccc2CC,9.98
n1c2c(oc1c3cccc(I)c3)ccc(c2)\N=C\c4cccc(F)c4O,5.48
C(=O)(C(C)(C)C)Nc(cccc1C#C)c1,8.750000000000002
C(CNc1ccc(cc1Br)Br)(=O)N\N=C(/C)\CCc2ccccc2,13.38
N1(c2cccc(Br)c2)C(=O)C(C3C1=O)C(C=C4)C5(C34)CC5,12.79
c1(ccc(c(cccc2)c12)Br)CC(=O)N\N=C\c(ccc(c3O)O)c3,73.19
C(=O)(N\N=C\c1cccc(OC)c1O)c2ccc(cc2)NC(CCC)=O,43.06
[N+](=O)([O-])c1ccc(cc1O)\C=N\NC(COc2ccc(cc2Cl)Cl)=O,20.14
N(\C(\C(O1)=O)=C/c2c(OCC)ccc(cccc3)c23)=C1c(ccc(c45)OCO4)c5,16.0
C(=N)(N1CCCCC1)\C(\C#N)=N\Nc(cccc2C(F)(F)F)c2,10.72
c1(\C=N\NC(CNc2ccc(cc2Br)Br)=O)cc(OC)ccc1O,29.73
c1(coc(ccc(OC)c2)c12)C(=O)c3cccs3,27.95
C(=N/NC(COc1ccccc1C)=O)(/c2c(N3C)cccc2)\C3=O,8.78
c1(cc(OC)cc(\C=N\NC(=O)c2ccccc2NC(=O)c3ccc(cc3)F)c1O)[N+](=O)[O-],15.36
c1(cc(ccc1C(O)=O)NC(CCCCCCCCCCC)=O)C(O)=O,72.19
c1(NCC(=O)N\N=C\c(ccc(c2O)O)c2)c(Br)cc(cc1Br)Cl,20.55
S(Cc1ccccc1)(NCCCNc(cc2)c(Cl)cc2[N+](=O)[O-])(=O)=O,41.25
[N+](=O)([O-])c1cccc(c1)\C=N\NC(CNc2ccccc2OC)=O,6.35
c1(c(O)c(\C=N\NC(COc2ccc(cc2OC)Br)=O)cc(c1)[N+](=O)[O-])[N+](=O)[O-],14.29
C12(CC(CC3C1)CC(C3)C2)C(=O)Nc4cccc(CCCC5)c45,8.230000000000002
[N+](=O)([O-])c(cc1)ccc1C(=O)Oc2ccc(cc2OC)\C=N\NC(CNc(ccc(c34)cccc3)c4)=O,12.63
C1(=N2)N(C=CN=C1N(CC3)CCO3)C(N2CC(=O)NCc4ccccc4Cl)=O,12.95
C1(=N2)N(C=CN=C1N(CC3)CCO3)C(N2CC(=O)Nc(ccc(c4Cl)C)c4)=O,12.87
C1(=N2)N(C=CN=C1N(CC3)CCN3c4ccccc4)C(N2CC(=O)NCc(cc5)ccc5OC)=O,5.289999999999999
S(=O)(=O)(c1ccc(cc1)CCC)Nc(ccc(n2c3)nn3)n2,6.279999999999999
c1(C2=O)n(c3c(cccc3)N2CC(=O)Nc4cccc(F)c4)c(nn1)C(C)C,7.5699999999999985
S(=O)(=O)(N(Cc(cc1)ccc1C)c(cc2)ccc2C(C)C)c3cccn(cnn4)c34,13.54
c1(C2=O)n(c3c(cccc3)N2CC(=O)Nc(ccc(c4Cl)Cl)c4)c(nn1)C(C)C,6.609999999999999
N12C(C=CC(c3ccc(c(C)c3)C)=N1)=NN(Cc4cccc(F)c4)C2=O,6.19
N1(c(ccs2)c2C(N3CCC)=O)C3=NN(CC(c4ccccc4)=O)C1=O,5.750000000000001
c1(Br)ccc(\C=N\c2cc3c(cc2\N=C\c(ccc4Br)o4)cccc3)o1,10.52
C(=O)(NCc(cccn1)c1)c2ccc(c3c2)cccc3,6.959999999999999
N1(c2ccccc2)C(=O)C(CC1=O)Nc3cccc(c3)OC(=O)c(cc4)ccc4[N+](=O)[O-],9.57
C(=O)(N\N=C\c(cc1)ccc1I)C(=O)Nc2ccccc2CC,14.03
N1(CNc2ccccc2OC)C(=O)\C(\SC1=O)=C\c3ccccc3,11.12
c1(CC(OCC)=O)[nH]c(c2n1)cccc2,6.77
[N+](=O)([O-])c1ccc(c(\C=N\NC(CSc2ccccc2C)=O)c1)C,11.63
[N+](=O)([O-])c(cc1)ccc1C(=O)NC(CSCc2ccccc2)C(=O)N\N=C\c(cc3)ccc3O,13.49
C(=O)(N\N=C(/C)\CC(=O)Nc1ccccc1CC)C(=O)Nc2ccccc2,7.420000000000003
C(=O)(Nc(ccc(c1Cl)Cl)c1)C\C(\C)=N\NC(=O)c2ccc(cc2)C,10.33
o1c(C)ccc1\C=N\NC(c2ccccc2)=O,5.3900000000000015
[N+](=O)([O-])\C=C(/c1ccccc1)\c2ccccc2,39.85
C(COc(ccc(c1C)C)c1)(=O)N\N=C\c(cc2)ccc2N(CC)CC,15.06
C(=O)(N\N=C\c1cc(Br)ccc1O)C(=O)NC(C)c2ccccc2,66.75999999999999
N1(c2ccc(c(C)c2)C)C(=O)\C(\C(C)=N1)=C\Nc(cc3)ccc3S(=O)(=O)Nc(ccc(c4C)C)c4,5.22
C(C(OC)=O)(=C(C)OC(=C1C#N)N)C1c2ccc(cc2)Cl,19.93
C(=O)(C(NCCCCc1ccccc1)=O)Nc2ccccc2F,8.8
n1(c(ccc2C(=O)Nc3cccc(F)c3)nnc1SCC(=O)NCc4cccc(OC)c4)c2,6.17
C(CCc1ccccc1)(=O)Nc(cc2)ccc2I,6.2200000000000015
C(=O)(NCC1CCCO1)C(NCCCCc2ccccc2)=O,20.78
C(=O)(c1cccc(Cl)c1)N\N=C(/C)\CC(=O)Nc(ccc(c2Cl)Cl)c2,6.95
C(=O)(C\C(\C)=N\NC(COc1ccccc1)=O)Nc2ccccc2CC,6.65
